date,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Ownership of dwellings,Total,Total less mining,Total less mi and ag
2007-12-01,69.89844493811488,79.76799367255471,40.78729228515248,63.29055203340034,43.975197734596236,35.30275229357798,31.132213294375454,29.160636758321274,44.785361441591874,63.197379543533394,58.621920742591925,50.48192771084338,23.357744617587137,12.561418500320446,17.519217330538087,13.538687801290955,14.75708133681082,38.25726141078838,29.728199320498298,91.79352891571612,44.7863649414037,42.12441719563769,41.403895868666744
2008-03-01,75.6848454385524,79.72696925913009,40.94353002649946,67.71392081736909,44.45657851004226,35.34000588754784,31.137724550898206,33.91327623126338,46.06476806032451,62.239915074309984,59.250754198748254,52.072263549415524,14.80175139868645,14.418465227817745,17.24954339443956,13.522602846863757,15.245748893547637,45.68678267308404,27.237876174046388,91.84690737289237,45.14576312992633,42.43044253880821,41.36187807379532
2008-06-01,74.20212765957447,82.7693164194536,43.1078134889936,64.33112582781457,44.97476312760117,34.43413458025864,30.9612283530814,32.027233569542865,44.59014188689395,61.5000542711386,60.22171220716235,48.316542948038176,16.013202071359473,16.084531846199003,17.197827367318894,13.812112973871017,16.012443438914026,40.64362336114422,30.067567567567565,91.79337725967224,45.53518669384587,41.945747845554635,40.98825275523416
2008-09-01,73.40381137849492,84.76215198909728,41.02042326476247,64.65159823458606,46.006006006006004,36.11946712505372,27.75862068965517,33.71313672922252,44.70225321888412,62.76893287435457,62.43642124572667,48.030979259648205,22.121102435493047,18.20054945054945,17.81524456695942,14.668357830336493,15.490806223479492,42.47990815154994,25.648827635582606,91.99135099172523,46.98603835304715,42.58443576530014,41.72334455231596
2008-12-01,74.046624444145,84.09376712991326,38.560814950980394,62.06266685401152,47.16883341251673,24.059322033898304,32.21318637005175,32.41085683874401,44.516304717816055,63.584924724664035,63.958470665787736,48.58946283653227,23.310116751014682,15.773107441561226,18.11672264115075,14.861734472274504,16.038679559853282,43.174726989079566,26.861417883861776,92.05394274639642,46.90630444711335,42.547208321364316,41.63818145758717
2009-03-01,73.96660279222557,82.916680877187,39.59922178988327,63.74081496325985,46.400139209118194,35.75435064001151,29.80328562363393,32.08043106847155,44.96108152396559,63.28132863613488,64.39414958975782,44.5040972025996,25.921232209007606,15.14152552006366,18.09161258112831,14.243748656588092,15.012636899747262,42.628571428571426,39.073453215483084,92.22035159155867,47.37364126323434,43.486531446517425,42.63266871165644
2009-06-01,74.27012278308321,78.52872137827185,42.40632649218603,63.91242017463834,46.59960638530505,40.472813238770684,35.02139800285307,33.66886049812879,45.94255529877847,64.66472303206997,65.13989803701176,50.932587263522514,16.724431974473237,19.336472134019488,17.895578377713548,14.85329215218307,16.432801579256257,43.07458143074581,25.109970674486803,92.4555023923445,46.59720016529885,43.92911066374563,43.08314377657915
2009-09-01,75.6937927336104,77.35632733005303,37.884220279579424,62.00797872340426,46.56068613012215,36.45615301335258,31.74798414650813,33.24225865209472,44.9375866851595,65.48334764767631,63.93449219378722,52.59880543906469,26.16707616707617,19.390610425950875,17.291553462536978,14.383234350467609,15.93340007376574,40.743579915676506,29.42489270386266,91.9112575676297,45.88988721085834,43.46827057054517,42.55964981250756
2009-12-01,75.48149159950826,75.27076696888018,41.08996873673241,63.73393235991514,46.55900932937288,40.71958505679207,31.80870384072106,36.17755856966708,45.05817753954766,65.3196681307955,63.632326820603915,50.16354834489075,28.56931498742418,18.547341115434502,17.024695031240704,14.13672453236442,16.269962363950768,43.87535816618911,33.30746546639764,92.12134764460346,46.490053876224536,44.392007516621234,43.55703762399483
2010-03-01,74.94378864530636,77.21385144065557,41.419443176631674,63.789599521817095,47.00162733930024,34.54391891891892,31.964712125232158,34.11111111111111,43.66846238722658,66.36303878298432,64.28879057202145,51.75699084385054,31.40632690500694,16.271783826121013,17.090302994225848,14.342975482664173,16.730056804149175,42.27553616866594,31.01000322684737,92.16382050713388,46.47386434451234,44.015306607845694,43.21985810476249
