date,industry,gva,gos,margin
2022-06-01,"Electricity, gas, water and waste services",12500,7490,59.919999999999995
2022-06-01,Construction,40189,17053,42.43200875861554
2022-06-01,Wholesale trade,22290,8243,36.98070883804397
2022-06-01,Retail trade,25234,8361,33.13386700483475
2022-06-01,Accommodation and food services,14073,3959,28.13188374902295
2022-06-01,"Transport, postal and warehousing",26831,13101,48.82784838433156
2022-06-01,Information media and telecommunications,12885,6410,49.74776872332169
2022-06-01,Financial and insurance services,41072,25312,61.62835995325282
2022-06-01,"Rental, hiring and real estate services",16203,8924,55.076220453002534
2022-06-01,"Professional, scientific and technical services",41679,9462,22.70208018426546
2022-06-01,Administrative and support services,19864,2439,12.278493757551349
2022-06-01,Public administration and safety,30204,5357,17.736061448814727
2022-06-01,Education and training,26929,3191,11.849678784953024
2022-06-01,Health care and social assistance,45846,6652,14.509444662565981
2022-06-01,Arts and recreation services,4493,1600,35.610950367237926
2022-06-01,Other services,9249,1896,20.49951346091469
2022-06-01,Ownership of dwellings,49244,44582,90.53285679473642
2022-06-01,Total,586343,289133,49.31123932578713
2022-06-01,Total less mining,490226,202762,41.36092332923999
2022-06-01,Total less mi and ag,473996,189529,39.98535852623229
2022-09-01,"Agriculture, forestry and fishing",17306,14181,81.94267883970878
2022-09-01,Mining,89223,79252,88.82463042040729
2022-09-01,Manufacturing,33375,13373,40.0689138576779
2022-09-01,"Electricity, gas, water and waste services",12872,7694,59.77315102548167
2022-09-01,Construction,41303,17256,41.77904752681403
2022-09-01,Wholesale trade,24295,9778,40.24696439596625
2022-09-01,Retail trade,26256,8770,33.401889092017065
2022-09-01,Accommodation and food services,15278,4850,31.744992800104725
2022-09-01,"Transport, postal and warehousing",28122,14085,50.08534243652656
2022-09-01,Information media and telecommunications,13034,6501,49.877244130735
2022-09-01,Financial and insurance services,42919,26925,62.73445327244344
2022-09-01,"Rental, hiring and real estate services",16447,8978,54.5874627591658
2022-09-01,"Professional, scientific and technical services",44713,10925,24.4336099121061
2022-09-01,Administrative and support services,20689,2632,12.72173618831263
2022-09-01,Public administration and safety,30794,5584,18.133402610898226
2022-09-01,Education and training,27809,3292,11.83789420691143
2022-09-01,Health care and social assistance,47362,6788,14.332165026814748
2022-09-01,Arts and recreation services,4538,1583,34.88320846187748
2022-09-01,Other services,9630,1994,20.7061266874351
2022-09-01,Ownership of dwellings,50059,45335,90.56313550010987
2022-09-01,Total,594954,288688,48.522742934747896
