date,Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Arts and recreation services,Other services,Total,Total ex mining
2005-06-01,44.863074204947,9.547587383634857,24.376167034459346,5.73199467267698,5.226976731696182,3.6000177559445423,7.224795154969718,13.855028297779711,19.449207029575653,24.52679589509692,25.74732334047109,3.2164358186334354,4.623704371338441,17.50755638223669,6.479270675059692,10.234462132465104,8.156308481818614
2005-09-01,46.240174856037996,9.748423777730983,23.21213165603998,5.884088617866188,5.138885204149311,3.5913620291633794,7.103902542672993,13.556404325138525,19.823284823284823,21.380090497737555,24.397463002114165,3.120984788825797,4.685173833085209,16.475011057054402,6.380290587492103,10.257228491264934,8.02549597226205
2005-12-01,47.481632653061226,9.556222072595947,24.03995178233167,6.020711820021426,5.1700451034268236,3.5252660918793235,6.64451827242525,13.145067288333156,18.569674647022712,22.701539855072465,23.539852928746512,2.80545150235116,4.676965093453956,17.145969498910677,6.3526949241234965,10.237217039126346,7.899362045553534
2006-03-01,47.201449387094286,9.466057082830984,23.912268188302424,5.77160853843462,5.207031890861823,3.4865020103388855,6.458102108768035,12.689286997587393,17.72034596375618,21.125106746370623,22.23072345490096,2.3778895255915486,3.8205549312818743,17.4955595026643,6.202910517081226,10.090448984221046,7.6671365283930735
2006-06-01,51.198935835054435,9.264127678384478,23.986655546288574,5.519214086422358,5.237935615230859,3.4771300955504043,6.605191256830602,12.871088861076347,18.670725520040587,17.670466767046676,24.672633847173877,2.4249157217284707,3.7551695616211744,15.57341442224153,6.355803345159655,10.506939263830603,7.632466543357633
2006-09-01,47.26156751652502,9.858196910306663,24.64447047013552,4.922279792746114,5.226606430528188,3.6525115544544415,6.831877581420542,13.434197886647453,20.013884756520877,17.945094872830037,22.636755262943996,2.3571972581873575,3.1844533355107374,15.796519410977242,6.238606441158598,10.422698057209447,7.756592371301096
2006-12-01,46.58156717194492,9.857083045726636,26.030333003626772,5.535448158398978,5.122421166408196,4.0220393519177655,6.900226455308379,14.071164510166358,19.439108720706876,16.623853211009173,24.195206833821086,2.4164184045018207,3.83079993858437,19.41226941226941,6.366565765062006,10.456462058987102,7.991431749863902
2007-03-01,45.688657407407405,10.078567966363442,23.827333645005456,5.121162180308857,5.467572084760224,4.151244952893674,6.927374301675977,14.50687551224843,28.67149758454106,13.934283727399166,23.88275214785936,2.426451636658198,4.4659066153511,19.950176458376585,6.039649608114338,10.773996874044668,8.564266910838962
2007-06-01,45.55396076823184,9.531253464600102,24.012474012474012,6.079478054567023,5.571052932433977,4.264716126785093,6.65214047680082,12.283642954236521,28.614236790606657,14.515729502105524,24.05948612235883,2.6507507610219925,4.068460366959171,19.783585136790528,6.640471512770138,10.76052616583974,8.470447455019444
2007-09-01,41.88084928062579,9.264662167369453,21.45956607495069,5.497455924597736,5.250465100254944,4.295078355228731,6.713559002700496,14.013076515285386,28.110709987966302,14.602527517325722,20.049663001064207,2.5379553007102365,4.501420351081651,18.092858630022903,6.338093044679871,10.20332318066966,8.20090461379525
2007-12-01,41.63581285762369,9.779788579882926,21.689155422288856,6.441241284635671,5.678596643675664,4.302168021680217,6.594162135133446,13.082078509879015,28.739768967318746,14.547870132026905,23.491408019182096,2.6982163780757715,4.400596209809072,14.173715700433256,6.717195641875888,10.557585269855615,8.576100742304945
