"","date","value","bn"
"46",1996-03-01,3708680.0427,0.336780413014817
"47",1996-06-01,3692059.0933,-0.615599443953304
"48",1996-09-01,3696308.6149,-0.824022619389628
"49",1996-12-01,3696554.0416,-1.01774876837496
"50",1997-03-01,3715723.5587,-0.676020955669222
"51",1997-06-01,3714880.8308,-0.82909941258617
"52",1997-09-01,3711981.0659,-0.990458360532241
"53",1997-12-01,3743772.5675,-0.313483337260398
"54",1998-03-01,3747779.427,-0.418743474540159
"55",1998-06-01,3756923.0344,-0.392168858875687
"56",1998-09-01,3755721.4996,-0.603580587612681
"57",1998-12-01,3780941.6096,-0.16939594931243
"58",1999-03-01,3792781.9787,-0.105213293721127
"59",1999-06-01,3804840.8384,-0.0345216540131658
"60",1999-09-01,3846022.7743,0.672337919271162
"61",1999-12-01,3904371.1777,1.57914960551773
"62",2000-03-01,3919297.5387,1.30809795619743
"63",2000-06-01,3937772.6781,1.11288157583763
"64",2000-09-01,3981752.8246,1.47369510559443
"65",2000-12-01,3909594.6812,-0.771704500909698
"66",2001-03-01,3910988.9267,-0.931946141281766
"67",2001-06-01,3916270.5233,-0.899016824137582
"68",2001-09-01,3915108.2721,-0.960085635253019
"69",2001-12-01,3925449.5557,-0.709898962117249
"70",2002-03-01,3947228.2931,-0.282143281375235
"71",2002-06-01,3956723.7189,-0.239558534964088
"72",2002-09-01,3982716.0289,0.0857023361383717
"73",2002-12-01,4013024.0535,0.405308112084187
"74",2003-03-01,4049252.6642,0.72584111264878
"75",2003-06-01,4039441.2417,-0.0170094739764948
"76",2003-09-01,4043468.9595,-0.348996784372351
"77",2003-12-01,4070930.0892,-0.0766488278483445
"78",2004-03-01,4085622.1212,-0.119329078358207
"79",2004-06-01,4104964.2723,-0.0251993750180504
"80",2004-09-01,4109070.8818,-0.258784662519165
"81",2004-12-01,4170277.0692,0.731322059846002
"82",2005-03-01,4228740.0386,1.43684968537655
"83",2005-06-01,4255480.136,1.31465526252053
"84",2005-09-01,4263419.6552,0.787484840662823
"85",2005-12-01,4257918.0127,0.0662553071009882
"86",2006-03-01,4258757.6234,-0.34866196139476
"87",2006-06-01,4313142.5774,0.450097075242675
"88",2006-09-01,4362359.1415,1.01360823497122
"89",2006-12-01,4391359.6712,1.03044741478204
"90",2007-03-01,4391184.8517,0.435941639939103
"91",2007-06-01,4456072.2105,1.16618631087666
"92",2007-09-01,4474066.9718,0.827328775450638
"93",2007-12-01,4531494.5074,1.26727284048248
"94",2008-03-01,4548841.1553,0.852868466777323
"95",2008-06-01,4590767.891,0.945212898266236
"96",2008-09-01,4626407.7504,0.908777828165181
"97",2008-12-01,4590598.3938,-0.456453343097124
"98",2009-03-01,4570525.7393,-1.21631824161345
"99",2009-06-01,4528318.3337,-2.19342331052393
"100",2009-09-01,4520011.8521,-2.22116152787901
"101",2009-12-01,4566396.3306,-1.11186724785443
"102",2010-03-01,4594576.6887,-0.520064160476799
"103",2010-06-01,4647248.8499,0.354252219514048
"104",2010-09-01,4673372.4297,0.491058565765383
"105",2010-12-01,4710264.682,0.695120722423843
"106",2011-03-01,4742639.7822,0.710176760511192
"107",2011-06-01,4713334.0614,-0.431262017347082
"108",2011-09-01,4751517.4749,-0.118627243384376
