"","date","industry","gva","gos","margin"
"164",2004-06-01,"Manufacturing",23950,11060,46.1795407098121
"165",2004-06-01,"Electricity, gas, water and waste services",5644,3765,66.7080085046067
"166",2004-06-01,"Construction",15102,7813,51.7348695537015
"167",2004-06-01,"Wholesale trade",10349,4042,39.0569137114697
"168",2004-06-01,"Retail trade",10912,3420,31.341642228739
"169",2004-06-01,"Accommodation and food services",5717,1681,29.4035333216722
"170",2004-06-01,"Transport, postal and warehousing",11068,5113,46.1962414166968
"171",2004-06-01,"Information media and telecommunications",8163,5405,66.2134019355629
"172",2004-06-01,"Financial and insurance services",15614,9228,59.1008069681055
"173",2004-06-01,"Rental, hiring and real estate services",5278,2645,50.1136794240242
"174",2004-06-01,"Professional, scientific and technical services",11844,1678,14.1675109760216
"175",2004-06-01,"Administrative and support services",6586,603,9.15578499848163
"176",2004-06-01,"Public administration and safety",12273,2137,17.4122056546892
"177",2004-06-01,"Education and training",9798,1193,12.1759542763829
"178",2004-06-01,"Health care and social assistance",12275,2170,17.6782077393075
"179",2004-06-01,"Arts and recreation services",2297,1036,45.1023073574227
"180",2004-06-01,"Other services",4775,1764,36.9424083769633
"181",2004-06-01,"Ownership of dwellings",16396,14964,91.2661624786533
"182",2004-06-01,"Total",203085,90817,44.7187138390329
"183",2004-06-01,"Total less mining",193977,83863,43.2334761337684
"184",2004-06-01,"Total less mi and ag",187116,78797,42.1113106308386
"185",2004-09-01,"Agriculture, forestry and fishing",6575,4727,71.893536121673
"186",2004-09-01,"Mining",10138,7950,78.4178338922865
"187",2004-09-01,"Manufacturing",23186,10028,43.2502372121108
"188",2004-09-01,"Electricity, gas, water and waste services",6040,4054,67.1192052980132
"189",2004-09-01,"Construction",15560,7950,51.0925449871465
"190",2004-09-01,"Wholesale trade",10646,4147,38.953597595341
"191",2004-09-01,"Retail trade",11177,3487,31.1979958844055
"192",2004-09-01,"Accommodation and food services",5818,1647,28.3086971467858
"193",2004-09-01,"Transport, postal and warehousing",10725,4597,42.8624708624709
"194",2004-09-01,"Information media and telecommunications",8152,5363,65.7875368007851
"195",2004-09-01,"Financial and insurance services",16208,9580,59.106614017769
"196",2004-09-01,"Rental, hiring and real estate services",5318,2655,49.9247837532907
"197",2004-09-01,"Professional, scientific and technical services",11952,1600,13.3868808567604
"198",2004-09-01,"Administrative and support services",6837,701,10.2530349568524
"199",2004-09-01,"Public administration and safety",12393,2183,17.6147825385298
"200",2004-09-01,"Education and training",9937,1210,12.1767132937506
"201",2004-09-01,"Health care and social assistance",12263,2136,17.4182500203865
"202",2004-09-01,"Arts and recreation services",2336,1084,46.4041095890411
"203",2004-09-01,"Other services",4800,1730,36.0416666666667
"204",2004-09-01,"Ownership of dwellings",16713,15229,91.1206844970981
"205",2004-09-01,"Total",206497,91774,44.4432606769106
"206",2004-09-01,"Total less mining",196359,83824,42.6891560865557
"207",2004-09-01,"Total less mi and ag",189784,79097,41.6773806011044
"208",2004-12-01,"Agriculture, forestry and fishing",6606,4774,72.2676354828943
"209",2004-12-01,"Mining",10584,8340,78.7981859410431
"210",2004-12-01,"Manufacturing",23420,10038,42.8608027327071
"211",2004-12-01,"Electricity, gas, water and waste services",6180,4096,66.2783171521036
"212",2004-12-01,"Construction",15341,7659,49.9250374812594
"213",2004-12-01,"Wholesale trade",11261,4625,41.070952846106
"214",2004-12-01,"Retail trade",11040,3281,29.7192028985507
"215",2004-12-01,"Accommodation and food services",5762,1624,28.1846581048247
"216",2004-12-01,"Transport, postal and warehousing",11115,4834,43.4907782276203
"217",2004-12-01,"Information media and telecommunications",8383,5527,65.9310509364189
"218",2004-12-01,"Financial and insurance services",16644,9874,59.324681566931
"219",2004-12-01,"Rental, hiring and real estate services",5321,2716,51.043037023116
"220",2004-12-01,"Professional, scientific and technical services",12572,1937,15.4072542157175
"221",2004-12-01,"Administrative and support services",7014,775,11.0493299116054
"222",2004-12-01,"Public administration and safety",12683,2213,17.448553181424
"223",2004-12-01,"Education and training",10379,1242,11.9664707582619
"224",2004-12-01,"Health care and social assistance",12479,2136,17.1167561503326
"225",2004-12-01,"Arts and recreation services",2172,932,42.9097605893186
"226",2004-12-01,"Other services",4771,1580,33.1167470132048
"227",2004-12-01,"Ownership of dwellings",17095,15586,91.1728575606903
"228",2004-12-01,"Total",211530,94491,44.6702595376542
"229",2004-12-01,"Total less mining",200946,86151,42.8727120718999
"230",2004-12-01,"Total less mi and ag",194340,81377,41.8735206339405
"231",2005-03-01,"Agriculture, forestry and fishing",6803,4995,73.4234896369249
"232",2005-03-01,"Mining",11252,8864,78.7771062922147
"233",2005-03-01,"Manufacturing",24519,10909,44.4920265916228
"234",2005-03-01,"Electricity, gas, water and waste services",6238,4148,66.4956716896441
"235",2005-03-01,"Construction",15788,7940,50.2913605269825
"236",2005-03-01,"Wholesale trade",11358,4689,41.283676703645
"237",2005-03-01,"Retail trade",11390,3458,30.359964881475
"238",2005-03-01,"Accommodation and food services",5849,1729,29.5606086510515
"239",2005-03-01,"Transport, postal and warehousing",11537,5016,43.4775071509058
"240",2005-03-01,"Information media and telecommunications",7988,5099,63.8332498748122
"241",2005-03-01,"Financial and insurance services",17061,9974,58.4608170681672
"242",2005-03-01,"Rental, hiring and real estate services",5729,2713,47.3555594344563
"243",2005-03-01,"Professional, scientific and technical services",13023,2439,18.728403593642
"244",2005-03-01,"Administrative and support services",6941,790,11.3816452960668
"245",2005-03-01,"Public administration and safety",12786,2249,17.5895510714844
"246",2005-03-01,"Education and training",10495,1277,12.1676989042401
"247",2005-03-01,"Health care and social assistance",12593,2156,17.1206225680934
"248",2005-03-01,"Arts and recreation services",2314,1005,43.4312878133103
"249",2005-03-01,"Other services",4733,1541,32.5586308894993
"250",2005-03-01,"Ownership of dwellings",17448,15921,91.248280605227
"251",2005-03-01,"Total",215956,97022,44.9267443368093
"252",2005-03-01,"Total less mining",204704,88158,43.0660856651555
"253",2005-03-01,"Total less mi and ag",197901,83163,42.0225264147225
"254",2005-06-01,"Agriculture, forestry and fishing",6790,5013,73.8291605301915
"255",2005-06-01,"Mining",13653,11095,81.2641910202886
"256",2005-06-01,"Manufacturing",23188,9399,40.5338968431948
"257",2005-06-01,"Electricity, gas, water and waste services",6232,4116,66.0462130937099
"258",2005-06-01,"Construction",16205,8030,49.5526072199938
"259",2005-06-01,"Wholesale trade",11325,4619,40.7858719646799
"260",2005-06-01,"Retail trade",10352,2438,23.5510046367852
"261",2005-06-01,"Accommodation and food services",6008,1923,32.0073235685752
"262",2005-06-01,"Transport, postal and warehousing",11577,5041,43.5432322708819
"263",2005-06-01,"Information media and telecommunications",8380,5387,64.2840095465394
"264",2005-06-01,"Financial and insurance services",17417,10180,58.4486421312511
"265",2005-06-01,"Rental, hiring and real estate services",5888,2883,48.9639945652174
"266",2005-06-01,"Professional, scientific and technical services",13493,2788,20.6625657748462
"267",2005-06-01,"Administrative and support services",7131,833,11.6813911092413
"268",2005-06-01,"Public administration and safety",12898,2291,17.7624437897348
"269",2005-06-01,"Education and training",10678,1310,12.2682150215396
"270",2005-06-01,"Health care and social assistance",12695,2180,17.1721150059078
"271",2005-06-01,"Arts and recreation services",2180,907,41.605504587156
"272",2005-06-01,"Other services",4614,1430,30.9926311226701
"273",2005-06-01,"Ownership of dwellings",17812,16268,91.3316865034808
"274",2005-06-01,"Total",217757,97381,44.7200319622331
"275",2005-06-01,"Total less mining",204104,86286,42.2755066044761
"276",2005-06-01,"Total less mi and ag",197314,81273,41.1896773670393
"277",2005-09-01,"Agriculture, forestry and fishing",7003,5268,75.2249036127374
"278",2005-09-01,"Mining",14155,11488,81.158601200989
"279",2005-09-01,"Manufacturing",24443,10536,43.1043652579471
"280",2005-09-01,"Electricity, gas, water and waste services",6081,3883,63.8546291728334
"281",2005-09-01,"Construction",16260,7950,48.8929889298893
"282",2005-09-01,"Wholesale trade",11748,4950,42.1348314606742
"283",2005-09-01,"Retail trade",11602,3530,30.4257886571281
"284",2005-09-01,"Accommodation and food services",6144,2087,33.9680989583333
"285",2005-09-01,"Transport, postal and warehousing",11409,4694,41.1429573144009
"286",2005-09-01,"Information media and telecommunications",8795,5640,64.1273450824332
"287",2005-09-01,"Financial and insurance services",17904,10513,58.7187220732797
"288",2005-09-01,"Rental, hiring and real estate services",5971,2896,48.5010885948752
"289",2005-09-01,"Professional, scientific and technical services",13758,2679,19.4723070213694
"290",2005-09-01,"Administrative and support services",7200,841,11.6805555555556
"291",2005-09-01,"Public administration and safety",13323,2332,17.5035652630789
"292",2005-09-01,"Education and training",11007,1328,12.0650495139457
"293",2005-09-01,"Health care and social assistance",13270,2196,16.5486058779201
"294",2005-09-01,"Arts and recreation services",2340,1050,44.8717948717949
"295",2005-09-01,"Other services",4725,1438,30.4338624338624
"296",2005-09-01,"Ownership of dwellings",18073,16481,91.1912798096608
"297",2005-09-01,"Total",224996,101562,45.1394691461182
"298",2005-09-01,"Total less mining",210841,90074,42.7212923482624
"299",2005-09-01,"Total less mi and ag",203838,84806,41.6046075805296
"300",2005-12-01,"Agriculture, forestry and fishing",7114,5308,74.6134382906944
"301",2005-12-01,"Mining",15412,12517,81.2159356345705
"302",2005-12-01,"Manufacturing",24459,10469,42.8022404840754
"303",2005-12-01,"Electricity, gas, water and waste services",6253,4044,64.6729569806493
"304",2005-12-01,"Construction",16556,7999,48.314810340662
"305",2005-12-01,"Wholesale trade",11522,4647,40.3315396632529
"306",2005-12-01,"Retail trade",11625,3445,29.6344086021505
"307",2005-12-01,"Accommodation and food services",6288,2143,34.0807888040712
"308",2005-12-01,"Transport, postal and warehousing",11565,4732,40.9165585819282
"309",2005-12-01,"Information media and telecommunications",8706,5554,63.7950838502182
"310",2005-12-01,"Financial and insurance services",18179,10874,59.8162715220859
"311",2005-12-01,"Rental, hiring and real estate services",5845,2699,46.1762189905902
"312",2005-12-01,"Professional, scientific and technical services",13880,2564,18.4726224783862
"313",2005-12-01,"Administrative and support services",7381,902,12.220566318927
"314",2005-12-01,"Public administration and safety",13463,2365,17.566664190745
"315",2005-12-01,"Education and training",11067,1341,12.1171049064787
"316",2005-12-01,"Health care and social assistance",13448,2271,16.8872694824509
"317",2005-12-01,"Arts and recreation services",2334,1060,45.4155955441302
"318",2005-12-01,"Other services",4923,1602,32.5411334552102
"319",2005-12-01,"Ownership of dwellings",18461,16857,91.3114132495531
"320",2005-12-01,"Total",229213,104119,45.4245614341246
"321",2005-12-01,"Total less mining",213801,91602,42.844514291327
"322",2005-12-01,"Total less mi and ag",206687,86294,41.751053525379
"323",2006-03-01,"Agriculture, forestry and fishing",6612,4829,73.0338777979431
"324",2006-03-01,"Mining",16584,13442,81.0540279787747
"325",2006-03-01,"Manufacturing",24267,10185,41.9705773272345
"326",2006-03-01,"Electricity, gas, water and waste services",6534,4271,65.3657790021426
"327",2006-03-01,"Construction",17275,8609,49.83502170767
"328",2006-03-01,"Wholesale trade",11468,4467,38.9518660620858
"329",2006-03-01,"Retail trade",11569,3344,28.9048318782954
"330",2006-03-01,"Accommodation and food services",6149,2112,34.3470483005367
"331",2006-03-01,"Transport, postal and warehousing",12162,5120,42.0983390889656
"332",2006-03-01,"Information media and telecommunications",8116,5110,62.9620502710695
"333",2006-03-01,"Financial and insurance services",18519,11116,60.0248393541768
"334",2006-03-01,"Rental, hiring and real estate services",5937,2818,47.4650496883948
"335",2006-03-01,"Professional, scientific and technical services",13727,1887,13.7466307277628
"336",2006-03-01,"Administrative and support services",7565,963,12.729676140119
"337",2006-03-01,"Public administration and safety",13853,2410,17.3969537284343
"338",2006-03-01,"Education and training",11386,1404,12.3309327243984
"339",2006-03-01,"Health care and social assistance",14022,2343,16.7094565682499
"340",2006-03-01,"Arts and recreation services",2334,1041,44.6015424164524
"341",2006-03-01,"Other services",4852,1554,32.0280296784831
"342",2006-03-01,"Ownership of dwellings",18889,17274,91.4500502938218
"343",2006-03-01,"Total",232634,105113,45.1838510277947
"344",2006-03-01,"Total less mining",216050,91671,42.4304559129831
"345",2006-03-01,"Total less mi and ag",209438,86842,41.4642996972851
"346",2006-06-01,"Agriculture, forestry and fishing",6684,4878,72.9802513464991
"347",2006-06-01,"Mining",19170,15979,83.3541992696922
"348",2006-06-01,"Manufacturing",23593,9410,39.8847115669902
"349",2006-06-01,"Electricity, gas, water and waste services",6845,4558,66.5887509130752
"350",2006-06-01,"Construction",17462,8680,49.7079372351392
"351",2006-06-01,"Wholesale trade",11514,4374,37.9885356956748
"352",2006-06-01,"Retail trade",11404,3078,26.9905296387233
"353",2006-06-01,"Accommodation and food services",6265,2133,34.0462889066241
"354",2006-06-01,"Transport, postal and warehousing",12127,5105,42.0961490888101
"355",2006-06-01,"Information media and telecommunications",7595,4667,61.4483212639895
"356",2006-06-01,"Financial and insurance services",19444,11564,59.4733593910718
"357",2006-06-01,"Rental, hiring and real estate services",6089,2915,47.8732139924454
"358",2006-06-01,"Professional, scientific and technical services",14043,2014,14.3416648864203
"359",2006-06-01,"Administrative and support services",7898,1045,13.2311977715877
"360",2006-06-01,"Public administration and safety",13912,2434,17.4956871765382
"361",2006-06-01,"Education and training",11443,1437,12.5578956567334
"362",2006-06-01,"Health care and social assistance",14029,2270,16.1807684082971
"363",2006-06-01,"Arts and recreation services",2148,790,36.7783985102421
"364",2006-06-01,"Other services",4876,1501,30.7834290401969
"365",2006-06-01,"Ownership of dwellings",19202,17574,91.5217164878658
"366",2006-06-01,"Total",234800,105475,44.9212095400341
"367",2006-06-01,"Total less mining",215630,89496,41.5044288828085
"368",2006-06-01,"Total less mi and ag",208946,84618,40.4975448201928
"369",2006-09-01,"Agriculture, forestry and fishing",6160,4309,69.9512987012987
"370",2006-09-01,"Mining",19358,16021,82.7616489306747
"371",2006-09-01,"Manufacturing",24420,10058,41.1875511875512
"372",2006-09-01,"Electricity, gas, water and waste services",7022,4768,67.9008829393335
"373",2006-09-01,"Construction",17995,8665,48.1522645179216
"374",2006-09-01,"Wholesale trade",12146,4802,39.535649596575
"375",2006-09-01,"Retail trade",12020,3818,31.7637271214642
"376",2006-09-01,"Accommodation and food services",6348,2068,32.5771896660365
"377",2006-09-01,"Transport, postal and warehousing",13068,5920,45.3014998469544
"378",2006-09-01,"Information media and telecommunications",7294,4452,61.0364683301344
"379",2006-09-01,"Financial and insurance services",19609,11431,58.2946606150237
"380",2006-09-01,"Rental, hiring and real estate services",6253,2973,47.5451783144091
"381",2006-09-01,"Professional, scientific and technical services",14832,2970,20.0242718446602
"382",2006-09-01,"Administrative and support services",8026,1146,14.2785945676551
"383",2006-09-01,"Public administration and safety",14266,2482,17.3980092527688
"384",2006-09-01,"Education and training",11843,1580,13.3412142193701
"385",2006-09-01,"Health care and social assistance",14412,2279,15.8132112128782
"386",2006-09-01,"Arts and recreation services",2160,771,35.6944444444444
"387",2006-09-01,"Other services",4954,1665,33.6092046830844
"388",2006-09-01,"Ownership of dwellings",19887,18142,91.2254236435863
"389",2006-09-01,"Total",242144,110385,45.5865105061451
