"","date","value","log"
"103",2010-06-01,4647248.8499,15.3517859572897
"104",2010-09-01,4673372.4297,15.3573915167093
"105",2010-12-01,4710264.682,15.3652546601674
"106",2011-03-01,4742639.7822,15.372104454727
"107",2011-06-01,4713334.0614,15.3659060842342
"108",2011-09-01,4751517.4749,15.3739745933917
"109",2011-12-01,4770715.3945,15.3780068295016
"110",2012-03-01,4774396.2666,15.3787780875891
"111",2012-06-01,4779968.041,15.379944418462
"112",2012-09-01,4774674.0961,15.378836277442
"113",2012-12-01,4787178.265,15.3814517070796
"114",2013-03-01,4797979.7391,15.3837054995925
"115",2013-06-01,4817270.0012,15.387717935775
"116",2013-09-01,4837098.5224,15.3918256200906
"117",2013-12-01,4807872.6376,15.3857652651625
"118",2014-03-01,4811351.9014,15.3864886631739
"119",2014-06-01,4835613.0315,15.3915184692149
"120",2014-09-01,4840204.3381,15.3924674964173
"121",2014-12-01,4825004.3082,15.389322185646
"122",2015-03-01,4892756.8477,15.4032664751268
"123",2015-06-01,4900837.4077,15.4049166480098
"124",2015-09-01,4922583.0779,15.4093439665292
"125",2015-12-01,4958214.7027,15.4165562949358
"126",2016-03-01,4981949.5897,15.4213318562665
"127",2016-06-01,4947767.8481,15.4144470930632
"128",2016-09-01,4982096.7859,15.4213614017332
"129",2016-12-01,5005833.0209,15.4261143946245
"130",2017-03-01,5049910.8752,15.4348811526206
"131",2017-06-01,5091787.8672,15.4431395777759
"132",2017-09-01,5121671.9422,15.4489914949204
"133",2017-12-01,5168663.7029,15.4581247416825
"134",2018-03-01,5162068.9199,15.4568480105664
"135",2018-06-01,5203395.9014,15.4648220283636
"136",2018-09-01,5221598.1622,15.468314074342
"137",2018-12-01,5246859.9016,15.4731403416453
"138",2019-03-01,5306713.6656,15.4844833062561
"139",2019-06-01,5295264.2291,15.4823234373968
"140",2019-09-01,5315269.3331,15.4860942426229
"141",2019-12-01,5325400.6453,15.4879985052835
"142",2020-03-01,5312825.7248,15.4856344032388
"143",2020-06-01,4838596.0374,15.3921351616956
"144",2020-09-01,5043681.4179,15.4336468134656
"145",2020-12-01,5201828.115,15.4645206823456
"146",2021-03-01,5275107.3959,15.4785095965315
"147",2021-06-01,5339390.6428,15.4906220925899
"148",2021-09-01,5195853.7097,15.463371501969
"149",2021-12-01,5331459.8859,15.4891356584319
"150",2022-03-01,5366552.4283,15.4956962544078
"151",2022-06-01,5521203.9225,15.5241064963747
"152",2022-09-01,5593650.2799,15.5371426337894
"153",2022-12-01,5709726.0975,15.5576816115675
"154",2023-03-01,5771857.0219,15.5685044275885
"155",2023-06-01,5854915.4232,15.5827921096833
"156",2023-09-01,5794712.1071,15.5724563539878
"157",2023-12-01,5759380.8627,15.5663405377801
"158",2024-03-01,5796063.9259,15.5726896116752
"159",2024-06-01,5827236.8219,15.5780534874651
"160",2024-09-01,5868890.247,15.5851761189056
"161",2024-12-01,5910685.3905,15.5922723539779
"162",2025-03-01,5923754.8813,15.5944810762855
"163",2025-06-01,5945692.9959,15.5981776491689
"164",2025-09-01,5948327.1712,15.5986205902949
"165",2025-12-01,5983525.7549,15.6045205433067
"166",2026-03-01,6034502.6485,15.613003997933
