"","date","industry","gop","sales","margin"
"145",2004-09-01,"Information media and telecommunications",1761,9214,19.11222053397
"146",2004-09-01,"Financial and insurance services",1267,8391,15.0995113812418
"147",2004-09-01,"Rental, hiring and real estate services",3270,11141,29.3510456871017
"148",2004-09-01,"Professional, scientific and technical services",763,23299,3.27481866174514
"149",2004-09-01,"Administrative and support services",573,10946,5.23478896400512
"150",2004-09-01,"Arts and recreation services",691,4128,16.7393410852713
"151",2004-09-01,"Other services",538,8771,6.13385018811994
"152",2004-09-01,"Total",36967,379074,9.75192178835795
"153",2004-09-01,"Total less mining",29992,361161,8.30432964799632
"154",2004-12-01,"Mining",7117,18456,38.5619852622453
"155",2004-12-01,"Manufacturing",7451,77149,9.65793464594486
"156",2004-12-01,"Electricity, gas, water and waste services",1389,5909,23.5065154848536
"157",2004-12-01,"Construction",2321,35755,6.49139980422319
"158",2004-12-01,"Wholesale trade",3775,72107,5.23527535468124
"159",2004-12-01,"Retail trade",2382,65167,3.65522426995258
"160",2004-12-01,"Accommodation and food services",969,13860,6.99134199134199
"161",2004-12-01,"Transport, postal and warehousing",2562,17677,14.4934095151892
"162",2004-12-01,"Information media and telecommunications",1798,9246,19.4462470257409
"163",2004-12-01,"Financial and insurance services",1607,8297,19.3684464264192
"164",2004-12-01,"Rental, hiring and real estate services",3082,10718,28.755364806867
"165",2004-12-01,"Professional, scientific and technical services",748,23547,3.17662547245934
"166",2004-12-01,"Administrative and support services",534,11021,4.84529534524998
"167",2004-12-01,"Arts and recreation services",704,4067,17.3100565527416
"168",2004-12-01,"Other services",550,8865,6.20417371686407
"169",2004-12-01,"Total",36990,381841,9.6872782126592
"170",2004-12-01,"Total less mining",29873,363385,8.22075759869009
"171",2005-03-01,"Mining",7466,19506,38.2754024402748
"172",2005-03-01,"Manufacturing",7802,78120,9.98719918074757
"173",2005-03-01,"Electricity, gas, water and waste services",1395,5852,23.838004101162
"174",2005-03-01,"Construction",2399,37442,6.40724320282036
"175",2005-03-01,"Wholesale trade",3762,71846,5.23619964924978
"176",2005-03-01,"Retail trade",2254,66384,3.39539648107978
"177",2005-03-01,"Accommodation and food services",977,13962,6.99756481879387
"178",2005-03-01,"Transport, postal and warehousing",2565,17949,14.2904897208758
"179",2005-03-01,"Information media and telecommunications",1715,9053,18.9439964652601
"180",2005-03-01,"Financial and insurance services",1546,8195,18.8651616839536
"181",2005-03-01,"Rental, hiring and real estate services",2928,11108,26.3593806265754
"182",2005-03-01,"Professional, scientific and technical services",712,23859,2.98419883482124
"183",2005-03-01,"Administrative and support services",487,10930,4.45562671546203
"184",2005-03-01,"Arts and recreation services",765,4330,17.6674364896074
"185",2005-03-01,"Other services",568,8986,6.32094369018473
"186",2005-03-01,"Total",37340,387522,9.63558197986179
"187",2005-03-01,"Total less mining",29874,368016,8.11758184426764
"188",2005-06-01,"Mining",10157,22640,44.863074204947
"189",2005-06-01,"Manufacturing",7610,79706,9.54758738363486
"190",2005-06-01,"Electricity, gas, water and waste services",1436,5891,24.3761670344593
"191",2005-06-01,"Construction",2238,39044,5.73199467267698
"192",2005-06-01,"Wholesale trade",3893,74479,5.22697673169618
"193",2005-06-01,"Retail trade",2433,67583,3.60001775594454
"194",2005-06-01,"Accommodation and food services",1014,14035,7.22479515496972
"195",2005-06-01,"Transport, postal and warehousing",2546,18376,13.8550282977797
"196",2005-06-01,"Information media and telecommunications",1815,9332,19.4492070295757
"197",2005-06-01,"Financial and insurance services",2151,8770,24.5267958950969
"198",2005-06-01,"Rental, hiring and real estate services",3006,11675,25.7473233404711
"199",2005-06-01,"Professional, scientific and technical services",764,23753,3.21643581863344
"200",2005-06-01,"Administrative and support services",513,11095,4.62370437133844
"201",2005-06-01,"Arts and recreation services",753,4301,17.5075563822367
"202",2005-06-01,"Other services",597,9214,6.47927067505969
"203",2005-06-01,"Total",40927,399894,10.2344621324651
"204",2005-06-01,"Total less mining",30770,377254,8.15630848181861
"205",2005-09-01,"Mining",11001,23791,46.240174856038
"206",2005-09-01,"Manufacturing",7870,80731,9.74842377773098
"207",2005-09-01,"Electricity, gas, water and waste services",1347,5803,23.21213165604
"208",2005-09-01,"Construction",2393,40669,5.88408861786619
"209",2005-09-01,"Wholesale trade",3874,75386,5.13888520414931
"210",2005-09-01,"Retail trade",2458,68442,3.59136202916338
"211",2005-09-01,"Accommodation and food services",1003,14119,7.10390254267299
"212",2005-09-01,"Transport, postal and warehousing",2520,18589,13.5564043251385
"213",2005-09-01,"Information media and telecommunications",1907,9620,19.8232848232848
"214",2005-09-01,"Financial and insurance services",1890,8840,21.3800904977376
"215",2005-09-01,"Rental, hiring and real estate services",2885,11825,24.3974630021142
"216",2005-09-01,"Professional, scientific and technical services",753,24127,3.1209847888258
"217",2005-09-01,"Administrative and support services",535,11419,4.68517383308521
"218",2005-09-01,"Arts and recreation services",745,4522,16.4750110570544
"219",2005-09-01,"Other services",606,9498,6.3802905874921
"220",2005-09-01,"Total",41786,407381,10.2572284912649
"221",2005-09-01,"Total less mining",30785,383590,8.02549597226205
"222",2005-12-01,"Mining",11633,24500,47.4816326530612
"223",2005-12-01,"Manufacturing",7806,81685,9.55622207259595
"224",2005-12-01,"Electricity, gas, water and waste services",1396,5807,24.0399517823317
"225",2005-12-01,"Construction",2529,42005,6.02071182002143
"226",2005-12-01,"Wholesale trade",3989,77156,5.17004510342682
"227",2005-12-01,"Retail trade",2441,69243,3.52526609187932
"228",2005-12-01,"Accommodation and food services",940,14147,6.64451827242525
"229",2005-12-01,"Transport, postal and warehousing",2481,18874,13.1450672883332
"230",2005-12-01,"Information media and telecommunications",1815,9774,18.5696746470227
"231",2005-12-01,"Financial and insurance services",2005,8832,22.7015398550725
"232",2005-12-01,"Rental, hiring and real estate services",2785,11831,23.5398529287465
"233",2005-12-01,"Professional, scientific and technical services",704,25094,2.80545150235116
"234",2005-12-01,"Administrative and support services",548,11717,4.67696509345396
"235",2005-12-01,"Arts and recreation services",787,4590,17.1459694989107
"236",2005-12-01,"Other services",607,9555,6.3526949241235
"237",2005-12-01,"Total",42465,414810,10.2372170391263
"238",2005-12-01,"Total less mining",30832,390310,7.89936204555353
"239",2006-03-01,"Mining",12245,25942,47.2014493870943
"240",2006-03-01,"Manufacturing",7930,83773,9.46605708283098
"241",2006-03-01,"Electricity, gas, water and waste services",1341,5608,23.9122681883024
"242",2006-03-01,"Construction",2474,42865,5.77160853843462
